--------------------------LISTA v1 (orden de aparicion)--------------------------
Palabra: luz || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: filtraban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: grietas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: paredes || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: ambiente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: fresco || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: tranquilo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: impregnado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: venir || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: otra || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: epoca || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: avanzo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cautela || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: observando || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: detalle || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alrededor || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cubiertas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: inscripciones || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: grabados || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: narraban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: antiguas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: batallas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: epicas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ceremonias || Repeticiones: 1 || Binary code: No hay binario asignado
