--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra: filtraban || Repeticiones: 1 || Binary code: 0011100111
Palabra: rayos || Repeticiones: 1 || Binary code: 0011101000
Palabra: iluminado || Repeticiones: 1 || Binary code: 0011101001
Palabra: penumbra || Repeticiones: 1 || Binary code: 0011101010
Palabra: interior || Repeticiones: 1 || Binary code: 0011101011
Palabra: umbral || Repeticiones: 1 || Binary code: 0011101100
Palabra: hondo || Repeticiones: 1 || Binary code: 0011101101
Palabra: respiro || Repeticiones: 1 || Binary code: 0011101110
Palabra: pasar || Repeticiones: 1 || Binary code: 0011101111
Palabra: invitandolo || Repeticiones: 1 || Binary code: 0011110000
Palabra: como || Repeticiones: 1 || Binary code: 0011110001
Palabra: entreabiertas || Repeticiones: 1 || Binary code: 0011110010
Palabra: tallada || Repeticiones: 1 || Binary code: 0011110011
Palabra: madera || Repeticiones: 1 || Binary code: 0011110100
Palabra: puertas || Repeticiones: 1 || Binary code: 0011110101
Palabra: entrada || Repeticiones: 1 || Binary code: 0011110110
Palabra: firme || Repeticiones: 1 || Binary code: 0011110111
Palabra: misterio || Repeticiones: 1 || Binary code: 0011111000
Palabra: historia || Repeticiones: 1 || Binary code: 0011111001
Palabra: cargado || Repeticiones: 1 || Binary code: 0011111010
Palabra: sagrado || Repeticiones: 1 || Binary code: 0011111011
Palabra: sitio || Repeticiones: 1 || Binary code: 0011111100
Palabra: entrar || Repeticiones: 1 || Binary code: 0011111101
Palabra: punto || Repeticiones: 1 || Binary code: 0011111110
Palabra: sabia || Repeticiones: 1 || Binary code: 0011111111
Palabra: contemplar || Repeticiones: 1 || Binary code: 0100000000
Palabra: reverencia || Repeticiones: 1 || Binary code: 0100000001
Palabra: asombro || Repeticiones: 1 || Binary code: 0100000010
Palabra: mezcla || Repeticiones: 1 || Binary code: 0100000011
Palabra: dignidad || Repeticiones: 1 || Binary code: 0100000100
Palabra: tiempo || Repeticiones: 1 || Binary code: 0100000101
Palabra: resistir || Repeticiones: 1 || Binary code: 0100000110
Palabra: musgo || Repeticiones: 1 || Binary code: 0100000111
Palabra: cubierta || Repeticiones: 1 || Binary code: 0100001000
Palabra: hecha || Repeticiones: 1 || Binary code: 0100001001
Palabra: construccion || Repeticiones: 1 || Binary code: 0100001010
Palabra: alzaba || Repeticiones: 1 || Binary code: 0100001011
Palabra: mistica || Repeticiones: 1 || Binary code: 0100001100
Palabra: aura || Repeticiones: 1 || Binary code: 0100001101
Palabra: envuelto || Repeticiones: 1 || Binary code: 0100001110
Palabra: oculto || Repeticiones: 1 || Binary code: 0100001111
Palabra: vasto || Repeticiones: 1 || Binary code: 0100010000
Palabra: extendia || Repeticiones: 1 || Binary code: 0100010001
Palabra: ojos || Repeticiones: 1 || Binary code: 0100010010
Palabra: cima || Repeticiones: 1 || Binary code: 0100010011
Palabra: llego || Repeticiones: 1 || Binary code: 0100010100
Palabra: escalada || Repeticiones: 1 || Binary code: 0100010101
Palabra: ardua || Repeticiones: 1 || Binary code: 0100010110
Palabra: finalmente || Repeticiones: 1 || Binary code: 0100010111
Palabra: conocido || Repeticiones: 1 || Binary code: 0100011000
Palabra: alla || Repeticiones: 1 || Binary code: 0100011001
Palabra: respuestas || Repeticiones: 1 || Binary code: 0100011010
Palabra: buscar || Repeticiones: 1 || Binary code: 0100011011
Palabra: limites || Repeticiones: 1 || Binary code: 0100011100
Palabra: desafiar || Repeticiones: 1 || Binary code: 0100011101
Palabra: adelante || Repeticiones: 1 || Binary code: 0100011110
Palabra: seguir || Repeticiones: 1 || Binary code: 0100011111
Palabra: impulsaba || Repeticiones: 1 || Binary code: 0100100000
Palabra: espiritu || Repeticiones: 1 || Binary code: 0100100001
Palabra: detenia || Repeticiones: 1 || Binary code: 0100100010
Palabra: esto || Repeticiones: 1 || Binary code: 0100100011
Palabra: nada || Repeticiones: 1 || Binary code: 0100100100
Palabra: embargo || Repeticiones: 1 || Binary code: 0100100101
Palabra: sin || Repeticiones: 1 || Binary code: 0100100110
Palabra: intensidad || Repeticiones: 1 || Binary code: 0100100111
Palabra: mayor || Repeticiones: 1 || Binary code: 0100101000
Palabra: soplaba || Repeticiones: 1 || Binary code: 0100101001
Palabra: alcance || Repeticiones: 1 || Binary code: 0100101010
Palabra: parecian || Repeticiones: 1 || Binary code: 0100101011
Palabra: nubes || Repeticiones: 1 || Binary code: 0100101100
Palabra: frio || Repeticiones: 1 || Binary code: 0100101101
Palabra: aire || Repeticiones: 1 || Binary code: 0100101110
Palabra: escasa || Repeticiones: 1 || Binary code: 0100101111
Palabra: vegetacion || Repeticiones: 1 || Binary code: 0100110000
Palabra: ascendia || Repeticiones: 1 || Binary code: 0100110001
Palabra: verdad || Repeticiones: 1 || Binary code: 0100110010
Palabra: descubrir || Repeticiones: 1 || Binary code: 0100110011
Palabra: decidido || Repeticiones: 1 || Binary code: 0100110100
Palabra: mito || Repeticiones: 1 || Binary code: 0100110101
Palabra: consideraban || Repeticiones: 1 || Binary code: 0100110110
Palabra: muchos || Repeticiones: 1 || Binary code: 0100110111
Palabra: aunque || Repeticiones: 1 || Binary code: 0100111000
Palabra: nino || Repeticiones: 1 || Binary code: 0100111001
Palabra: esta || Repeticiones: 1 || Binary code: 0100111010
Palabra: hablar || Repeticiones: 1 || Binary code: 0100111011
Palabra: oido || Repeticiones: 1 || Binary code: 0100111100
Palabra: poseyera || Repeticiones: 1 || Binary code: 0100111101
Palabra: conceder || Repeticiones: 1 || Binary code: 0100111110
Palabra: tenia || Repeticiones: 1 || Binary code: 0100111111
Palabra: creia || Repeticiones: 1 || Binary code: 0101000000
Palabra: segun || Repeticiones: 1 || Binary code: 0101000001
Palabra: : || Repeticiones: 1 || Binary code: 0101000010
Palabra: invaluable || Repeticiones: 1 || Binary code: 0101000011
Palabra: tesoro || Repeticiones: 1 || Binary code: 0101000100
Palabra: albergaba || Repeticiones: 1 || Binary code: 0101000101
Palabra: siglos || Repeticiones: 1 || Binary code: 0101000110
Palabra: hace || Repeticiones: 1 || Binary code: 0101000111
Palabra: perdida || Repeticiones: 1 || Binary code: 0101001000
Palabra: civilizacion || Repeticiones: 1 || Binary code: 0101001001
Palabra: construido || Repeticiones: 1 || Binary code: 0101001010
Palabra: encontraba || Repeticiones: 1 || Binary code: 0101001011
Palabra: alto || Repeticiones: 1 || Binary code: 0101001100
Palabra: decia || Repeticiones: 1 || Binary code: 0101001101
Palabra: objetivo || Repeticiones: 1 || Binary code: 0101001110
Palabra: cerca || Repeticiones: 1 || Binary code: 0101001111
Palabra: tan || Repeticiones: 1 || Binary code: 0101010000
Palabra: estar || Repeticiones: 1 || Binary code: 0101010001
Palabra: emocion || Repeticiones: 1 || Binary code: 0101010010
Palabra: fisico || Repeticiones: 1 || Binary code: 0101010011
Palabra: esfuerzo || Repeticiones: 1 || Binary code: 0101010100
Palabra: fuerza || Repeticiones: 1 || Binary code: 0101010101
Palabra: latia || Repeticiones: 1 || Binary code: 0101010110
Palabra: obstaculo || Repeticiones: 1 || Binary code: 0101010111
Palabra: superar || Repeticiones: 1 || Binary code: 0101011000
Palabra: logro || Repeticiones: 1 || Binary code: 0101011001
Palabra: experiencia || Repeticiones: 1 || Binary code: 0101011010
Palabra: avance || Repeticiones: 1 || Binary code: 0101011011
Palabra: dificultaban || Repeticiones: 1 || Binary code: 0101011100
Palabra: penascos || Repeticiones: 1 || Binary code: 0101011101
Palabra: rocas || Repeticiones: 1 || Binary code: 0101011110
Palabra: pie || Repeticiones: 1 || Binary code: 0101011111
Palabra: continuo || Repeticiones: 1 || Binary code: 0101100000
Palabra: seguro || Repeticiones: 1 || Binary code: 0101100001
Palabra: claro || Repeticiones: 1 || Binary code: 0101100010
Palabra: asegurarlo || Repeticiones: 1 || Binary code: 0101100011
Palabra: desmonto || Repeticiones: 1 || Binary code: 0101100100
Palabra: desafiante || Repeticiones: 1 || Binary code: 0101100101
Palabra: empinado || Repeticiones: 1 || Binary code: 0101100110
Palabra: volvia || Repeticiones: 1 || Binary code: 0101100111
Palabra: ascenso || Repeticiones: 1 || Binary code: 0101101000
Palabra: alli || Repeticiones: 1 || Binary code: 0101101001
Palabra: base || Repeticiones: 1 || Binary code: 0101101010
Palabra: llegaron || Repeticiones: 1 || Binary code: 0101101011
Palabra: varias || Repeticiones: 1 || Binary code: 0101101100
Palabra: despues || Repeticiones: 1 || Binary code: 0101101101
Palabra: posible || Repeticiones: 1 || Binary code: 0101101110
